bundle,workload,seam,condition,completed,failed,effective_recompute,effective_partial_reuse,effective_full_reuse,mean_ttft_ms,p95_ttft_ms,mean_latency_ms,p95_latency_ms,request_throughput_rps,output_throughput_toks
dynamic_rag_corpus_update/segmented_tuned/round_01_sequence_25,dynamic_rag_corpus_update,segmented,tuned,32,0,0,8,24,770.887,765.836,2494.989,7535.074,1.593,114.662
dynamic_rag_corpus_update/segmented_tuned/round_02_sequence_26,dynamic_rag_corpus_update,segmented,tuned,32,0,0,8,24,407.658,688.542,1769.644,2027.679,2.239,161.203
dynamic_rag_corpus_update/segmented_tuned/round_03_sequence_27,dynamic_rag_corpus_update,segmented,tuned,32,0,0,8,24,407.518,687.941,1766.248,2020.879,2.243,161.523
shared_scenario_multi_turn_knowledge_service/old_baseline/round_01_sequence_01,shared_scenario_multi_turn_knowledge_service,old,baseline,32,0,8,0,24,157.121,217.673,1165.272,1235.211,3.393,217.128
shared_scenario_multi_turn_knowledge_service/old_baseline/round_02_sequence_08,shared_scenario_multi_turn_knowledge_service,old,baseline,32,0,8,0,24,158.616,219.528,1163.981,1232.771,3.394,217.192
shared_scenario_multi_turn_knowledge_service/old_baseline/round_03_sequence_10,shared_scenario_multi_turn_knowledge_service,old,baseline,32,0,8,0,24,158.219,216.662,1166.371,1225.474,3.386,216.726
shared_scenario_multi_turn_knowledge_service/old_tuned/round_01_sequence_03,shared_scenario_multi_turn_knowledge_service,old,tuned,32,0,0,0,32,148.882,217.331,1153.168,1235.903,3.425,219.229
shared_scenario_multi_turn_knowledge_service/old_tuned/round_02_sequence_06,shared_scenario_multi_turn_knowledge_service,old,tuned,32,0,0,0,32,149.29,227.021,1153.869,1242.517,3.422,219.011
shared_scenario_multi_turn_knowledge_service/old_tuned/round_03_sequence_09,shared_scenario_multi_turn_knowledge_service,old,tuned,32,0,0,0,32,146.219,219.556,1152.615,1255.03,3.428,219.376
shared_scenario_multi_turn_knowledge_service/segmented_baseline/round_01_sequence_02,shared_scenario_multi_turn_knowledge_service,segmented,baseline,32,0,8,0,24,155.647,222.127,1167.604,1241.002,3.382,216.462
shared_scenario_multi_turn_knowledge_service/segmented_baseline/round_02_sequence_07,shared_scenario_multi_turn_knowledge_service,segmented,baseline,32,0,8,0,24,155.564,215.482,1164.859,1230.172,3.392,217.091
shared_scenario_multi_turn_knowledge_service/segmented_baseline/round_03_sequence_12,shared_scenario_multi_turn_knowledge_service,segmented,baseline,32,0,8,0,24,159.355,220.761,1172.479,1244.5,3.371,215.743
shared_scenario_multi_turn_knowledge_service/segmented_tuned/round_01_sequence_04,shared_scenario_multi_turn_knowledge_service,segmented,tuned,32,0,0,16,16,149.158,220.697,1153.592,1235.296,3.426,219.286
shared_scenario_multi_turn_knowledge_service/segmented_tuned/round_02_sequence_05,shared_scenario_multi_turn_knowledge_service,segmented,tuned,32,0,0,16,16,159.493,221.216,1169.262,1231.454,3.379,216.239
shared_scenario_multi_turn_knowledge_service/segmented_tuned/round_03_sequence_11,shared_scenario_multi_turn_knowledge_service,segmented,tuned,32,0,0,16,16,153.341,225.707,1159.468,1242.084,3.407,218.05
shared_tool_scaffold_agent/old_baseline/round_01_sequence_13,shared_tool_scaffold_agent,old,baseline,32,0,8,0,24,145.902,183.59,2158.511,2197.778,1.827,233.894
shared_tool_scaffold_agent/old_baseline/round_02_sequence_20,shared_tool_scaffold_agent,old,baseline,32,0,8,0,24,143.023,181.969,2164.805,2211.399,1.823,233.29
shared_tool_scaffold_agent/old_baseline/round_03_sequence_22,shared_tool_scaffold_agent,old,baseline,32,0,8,0,24,139.703,184.395,2151.479,2203.712,1.833,234.612
shared_tool_scaffold_agent/old_tuned/round_01_sequence_15,shared_tool_scaffold_agent,old,tuned,32,0,8,0,24,141.478,185.015,2151.322,2212.423,1.833,234.664
shared_tool_scaffold_agent/old_tuned/round_02_sequence_18,shared_tool_scaffold_agent,old,tuned,32,0,8,0,24,145.748,180.735,2156.898,2199.845,1.828,234.008
shared_tool_scaffold_agent/old_tuned/round_03_sequence_21,shared_tool_scaffold_agent,old,tuned,32,0,8,0,24,139.425,179.52,2153.362,2195.66,1.833,234.577
shared_tool_scaffold_agent/segmented_baseline/round_01_sequence_14,shared_tool_scaffold_agent,segmented,baseline,32,0,8,0,24,139.664,180.745,2149.162,2196.196,1.835,234.921
shared_tool_scaffold_agent/segmented_baseline/round_02_sequence_19,shared_tool_scaffold_agent,segmented,baseline,32,0,8,0,24,142.658,186.206,2160.997,2206.514,1.825,233.66
shared_tool_scaffold_agent/segmented_baseline/round_03_sequence_24,shared_tool_scaffold_agent,segmented,baseline,32,0,8,0,24,141.246,184.759,2155.772,2192.52,1.829,234.173
shared_tool_scaffold_agent/segmented_tuned/round_01_sequence_16,shared_tool_scaffold_agent,segmented,tuned,32,0,8,8,16,143.882,179.899,2163.642,2194.12,1.823,233.395
shared_tool_scaffold_agent/segmented_tuned/round_02_sequence_17,shared_tool_scaffold_agent,segmented,tuned,32,0,8,8,16,142.484,186.443,2154.659,2204.683,1.83,234.304
shared_tool_scaffold_agent/segmented_tuned/round_03_sequence_23,shared_tool_scaffold_agent,segmented,tuned,32,0,8,8,16,141.355,179.582,2162.147,2191.738,1.824,233.527
