workload,metric,effect,matched_rounds,absolute_delta_mean,absolute_delta_ci95_low,absolute_delta_ci95_high,relative_delta_pct_mean,relative_delta_pct_ci95_low,relative_delta_pct_ci95_high
shared_scenario_multi_turn_knowledge_service,mean_ttft_ms,seam_main,3,4.666167,-3.945823,13.278157,2.88126,-2.483915,8.246436
shared_scenario_multi_turn_knowledge_service,mean_ttft_ms,tuning_main,3,-8.1295,-15.043061,-1.215939,-4.803696,-8.782869,-0.824523
shared_scenario_multi_turn_knowledge_service,mean_ttft_ms,interaction,3,11.931,0.017769,23.844231,7.067805,-0.054205,14.189816
shared_scenario_multi_turn_knowledge_service,mean_ttft_ms,segmented_tuned_vs_old_baseline,3,-3.463333,-18.127132,11.200466,-2.006709,-10.643122,6.629704
shared_scenario_multi_turn_knowledge_service,mean_latency_ms,seam_main,3,-0.127167,-33.896994,33.642661,-0.006546,-2.852873,2.83978
shared_scenario_multi_turn_knowledge_service,mean_latency_ms,tuning_main,3,-7.9505,-22.011366,6.110366,-0.664174,-1.83175,0.503402
shared_scenario_multi_turn_knowledge_service,mean_latency_ms,interaction,3,9.022333,1.525914,16.518752,0.751518,0.118389,1.384648
shared_scenario_multi_turn_knowledge_service,mean_latency_ms,segmented_tuned_vs_old_baseline,3,-8.077667,-52.353674,36.198341,-0.667109,-4.371246,3.037029
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,seam_main,3,-0.001,-0.096607,0.094607,-0.026078,-2.895698,2.843542
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,tuning_main,3,0.022667,-0.013038,0.058371,0.686517,-0.403104,1.776139
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,interaction,3,-0.022667,-0.051458,0.006125,-0.688031,-1.558133,0.182071
shared_scenario_multi_turn_knowledge_service,request_throughput_rps,segmented_tuned_vs_old_baseline,3,0.021667,-0.098251,0.141585,0.663512,-2.963007,4.290032
shared_tool_scaffold_agent,mean_ttft_ms,seam_main,3,2.876333,-5.442224,11.19489,1.974775,-3.718684,7.668234
shared_tool_scaffold_agent,mean_ttft_ms,tuning_main,3,-1.394333,-11.530658,8.741991,-0.911166,-7.750141,5.927809
shared_tool_scaffold_agent,mean_ttft_ms,interaction,3,-1.976667,-10.057571,6.104238,-1.309012,-6.737112,4.119088
shared_tool_scaffold_agent,mean_ttft_ms,segmented_tuned_vs_old_baseline,3,1.482,-13.087048,16.051048,1.047135,-9.008725,11.102994
shared_tool_scaffold_agent,mean_latency_ms,seam_main,3,16.473833,-22.835025,55.782692,0.755998,-1.046813,2.558809
shared_tool_scaffold_agent,mean_latency_ms,tuning_main,3,1.248833,-16.695685,19.193352,0.057532,-0.764476,0.879539
shared_tool_scaffold_agent,mean_latency_ms,interaction,3,10.318333,-106.58877,127.225437,0.469252,-4.857557,5.796062
shared_tool_scaffold_agent,mean_latency_ms,segmented_tuned_vs_old_baseline,3,17.722667,-31.225301,66.670634,0.810387,-1.421971,3.042745
shared_tool_scaffold_agent,request_throughput_rps,seam_main,3,-0.013333,-0.04625,0.019583,-0.736463,-2.555294,1.082367
shared_tool_scaffold_agent,request_throughput_rps,tuning_main,3,-0.000333,-0.014836,0.014169,-0.018055,-0.820735,0.784625
shared_tool_scaffold_agent,request_throughput_rps,interaction,3,-0.008,-0.101378,0.085378,-0.445602,-5.641184,4.74998
shared_tool_scaffold_agent,request_throughput_rps,segmented_tuned_vs_old_baseline,3,-0.013667,-0.053439,0.026105,-0.757824,-2.967993,1.452345
