bundle,workload,seam,condition,service_lifecycle_id,started_at_utc,protocol_fingerprint,completed,failed,applied_recompute,applied_partial_reuse,applied_full_reuse,realized_recompute,realized_partial_reuse,realized_full_reuse,mean_ttft_ms,p95_ttft_ms,mean_latency_ms,p95_latency_ms,request_throughput_rps,output_throughput_toks
dynamic_rag_corpus_update/segmented_tuned/round_01_sequence_25,dynamic_rag_corpus_update,segmented,tuned,2026-08-01T05:28:30.341716Z-pid-2533938,2026-08-01T05:28:31.910546Z,51f8e720b121ab5492f2adbc3e6cddf7752b6e080f0ea194fbbd57140cb6c5a3,32,0,0,8,24,16,16,0,404.249,667.946,1797.301,2062.017,2.204,158.718
dynamic_rag_corpus_update/segmented_tuned/round_02_sequence_26,dynamic_rag_corpus_update,segmented,tuned,2026-08-01T05:31:49.642174Z-pid-2537364,2026-08-01T05:31:51.231780Z,51f8e720b121ab5492f2adbc3e6cddf7752b6e080f0ea194fbbd57140cb6c5a3,32,0,0,8,24,16,16,0,407.102,693.172,1804.283,2065.918,2.196,158.143
dynamic_rag_corpus_update/segmented_tuned/round_03_sequence_27,dynamic_rag_corpus_update,segmented,tuned,2026-08-01T05:35:01.314778Z-pid-2540728,2026-08-01T05:35:02.901956Z,51f8e720b121ab5492f2adbc3e6cddf7752b6e080f0ea194fbbd57140cb6c5a3,32,0,0,8,24,16,16,0,417.971,709.759,1799.752,2061.441,2.202,158.551
shared_scenario_multi_turn_knowledge_service/old_baseline/round_01_sequence_01,shared_scenario_multi_turn_knowledge_service,old,baseline,2026-08-01T04:13:43.419967Z-pid-2458389,2026-08-01T04:13:44.973864Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,8,0,24,16,16,0,171.814,243.535,1204.973,1316.531,3.281,209.964
shared_scenario_multi_turn_knowledge_service/old_baseline/round_02_sequence_06,shared_scenario_multi_turn_knowledge_service,old,baseline,2026-08-01T04:28:48.342516Z-pid-2474415,2026-08-01T04:28:49.924577Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,8,0,24,16,16,0,170.956,240.459,1199.63,1304.086,3.295,210.883
shared_scenario_multi_turn_knowledge_service/old_baseline/round_03_sequence_11,shared_scenario_multi_turn_knowledge_service,old,baseline,2026-08-01T04:44:22.838552Z-pid-2488928,2026-08-01T04:44:24.437551Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,8,0,24,16,16,0,165.341,248.776,1185.661,1304.568,3.333,213.33
shared_scenario_multi_turn_knowledge_service/old_tuned/round_01_sequence_03,shared_scenario_multi_turn_knowledge_service,old,tuned,2026-08-01T04:19:38.443478Z-pid-2464613,2026-08-01T04:19:40.040274Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,0,0,32,8,24,0,159.344,238.606,1188.315,1304.439,3.325,212.789
shared_scenario_multi_turn_knowledge_service/old_tuned/round_02_sequence_08,shared_scenario_multi_turn_knowledge_service,old,tuned,2026-08-01T04:34:52.967632Z-pid-2480731,2026-08-01T04:34:54.542634Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,0,0,32,8,24,0,153.58,241.654,1186.029,1316.648,3.333,213.336
shared_scenario_multi_turn_knowledge_service/old_tuned/round_03_sequence_09,shared_scenario_multi_turn_knowledge_service,old,tuned,2026-08-01T04:38:00.234177Z-pid-2482739,2026-08-01T04:38:01.866296Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,0,0,32,8,24,0,152.902,220.317,1178.535,1282.558,3.353,214.57
shared_scenario_multi_turn_knowledge_service/segmented_baseline/round_01_sequence_04,shared_scenario_multi_turn_knowledge_service,segmented,baseline,2026-08-01T04:22:41.725144Z-pid-2467879,2026-08-01T04:22:43.284143Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,8,0,24,16,16,0,174.505,270.547,1198.32,1327.404,3.296,210.964
