bundle,workload,seam,condition,service_lifecycle_id,started_at_utc,protocol_fingerprint,completed,failed,effective_recompute,effective_partial_reuse,effective_full_reuse,mean_ttft_ms,p95_ttft_ms,mean_latency_ms,p95_latency_ms,request_throughput_rps,output_throughput_toks
dynamic_rag_corpus_update/segmented_tuned/round_01_sequence_25,dynamic_rag_corpus_update,segmented,tuned,2026-07-31T15:51:42.302047Z-pid-2386634,2026-07-31T15:51:43.876980Z,51f8e720b121ab5492f2adbc3e6cddf7752b6e080f0ea194fbbd57140cb6c5a3,32,0,0,8,24,413.683,693.703,1805.283,2071.869,2.192,157.86
dynamic_rag_corpus_update/segmented_tuned/round_02_sequence_26,dynamic_rag_corpus_update,segmented,tuned,2026-07-31T15:54:59.532836Z-pid-2388978,2026-07-31T15:55:01.149477Z,51f8e720b121ab5492f2adbc3e6cddf7752b6e080f0ea194fbbd57140cb6c5a3,32,0,0,8,24,415.467,710.51,1804.13,2077.108,2.197,158.171
dynamic_rag_corpus_update/segmented_tuned/round_03_sequence_27,dynamic_rag_corpus_update,segmented,tuned,2026-07-31T15:58:14.995831Z-pid-2391838,2026-07-31T15:58:16.594261Z,51f8e720b121ab5492f2adbc3e6cddf7752b6e080f0ea194fbbd57140cb6c5a3,32,0,0,8,24,419.003,716.126,1801.302,2107.717,2.2,158.405
shared_scenario_multi_turn_knowledge_service/old_baseline/round_01_sequence_01,shared_scenario_multi_turn_knowledge_service,old,baseline,2026-07-31T14:41:46.418509Z-pid-2322380,2026-07-31T14:41:47.995327Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,8,0,24,160.812,223.594,1170.164,1237.106,3.378,216.16
shared_scenario_multi_turn_knowledge_service/old_baseline/round_02_sequence_06,shared_scenario_multi_turn_knowledge_service,old,baseline,2026-07-31T14:54:34.188995Z-pid-2337617,2026-07-31T14:54:35.777282Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,8,0,24,161.026,227.316,1176.164,1241.627,3.361,215.087
shared_scenario_multi_turn_knowledge_service/old_baseline/round_03_sequence_11,shared_scenario_multi_turn_knowledge_service,old,baseline,2026-07-31T15:07:35.455570Z-pid-2352487,2026-07-31T15:07:37.039401Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,8,0,24,159.739,224.061,1179.282,1279.423,3.351,214.464
shared_scenario_multi_turn_knowledge_service/old_tuned/round_01_sequence_03,shared_scenario_multi_turn_knowledge_service,old,tuned,2026-07-31T14:46:53.026026Z-pid-2328589,2026-07-31T14:46:54.628299Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,0,0,32,151.737,225.51,1158.385,1237.645,3.411,218.273
shared_scenario_multi_turn_knowledge_service/old_tuned/round_02_sequence_08,shared_scenario_multi_turn_knowledge_service,old,tuned,2026-07-31T14:59:46.308241Z-pid-2343642,2026-07-31T14:59:47.903840Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,0,0,32,151.939,223.094,1157.028,1240.215,3.416,218.622
shared_scenario_multi_turn_knowledge_service/old_tuned/round_03_sequence_09,shared_scenario_multi_turn_knowledge_service,old,tuned,2026-07-31T15:02:25.104195Z-pid-2346468,2026-07-31T15:02:26.680448Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,0,0,32,149.158,219.322,1153.209,1238.775,3.427,219.344
shared_scenario_multi_turn_knowledge_service/segmented_baseline/round_01_sequence_04,shared_scenario_multi_turn_knowledge_service,segmented,baseline,2026-07-31T14:49:32.216977Z-pid-2331669,2026-07-31T14:49:33.798506Z,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,0,8,0,24,159.129,223.553,1170.405,1245.139,3.377,216.159
