workload,stage,policy_mode,lifecycles,requests,mean_ttft_ms,mean_latency_ms,mean_request_throughput_rps,reused_tokens,recomputed_tokens,lookup_ms,commit_ms,tail_isolation_ms,observed_recompute,effective_recompute,realized_recompute,observed_partial_reuse,effective_partial_reuse,realized_partial_reuse,observed_full_reuse,effective_full_reuse,realized_full_reuse,fallback_reasons
shared_code_eval_judge,real-online/m2-significance-confirmation,always_full_reuse,5,320,173.26,1711.5856,2.3094,40960,168960,9.048332,564.849538,0.0,0,0,240,0,0,80,320,320,0,{}
shared_code_eval_judge,real-online/m2-significance-confirmation,always_recompute,5,320,186.4058,1722.4574,2.294,0,209920,0.798389,226.045306,0.0,320,320,320,0,0,0,0,0,0,{}
shared_code_eval_judge,real-online/m2-significance-confirmation,controller,5,320,174.7618,1714.8856,2.3054,39040,170880,9.045742,561.810194,0.203844,0,0,240,320,5,80,0,315,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 315, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 5}"
shared_code_eval_judge,real-online/m2-stateful-secondary-pilot,always_full_reuse,1,64,174.883,1700.788,2.323,8192,33792,1.790898,111.564459,0.0,0,0,48,0,0,16,64,64,0,{}
shared_code_eval_judge,real-online/m2-stateful-secondary-pilot,always_recompute,1,64,182.759,1717.496,2.3,0,41984,0.155388,43.863645,0.0,64,64,64,0,0,0,0,0,0,{}
shared_code_eval_judge,real-online/m2-stateful-secondary-pilot,controller,1,64,172.766,1696.826,2.327,7808,34176,1.751067,109.611572,0.016091,0,0,48,64,1,16,0,63,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 63, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 1}"
shared_dynamic_rag_corpus_update,real-online/m2-catalog-closure-pilot,always_full_reuse,1,64,328.124,1679.575,2.365,86016,110884,3.518245,93.668848,0.0,0,0,32,0,0,32,64,64,0,{}
shared_dynamic_rag_corpus_update,real-online/m2-catalog-closure-pilot,always_recompute,1,64,502.187,1934.072,2.056,0,196900,0.162458,33.824727,0.0,64,64,64,0,0,0,0,0,0,{}
shared_dynamic_rag_corpus_update,real-online/m2-catalog-closure-pilot,controller,1,64,409.076,1785.109,2.226,53248,143652,3.089006,93.686831,0.24816,0,0,32,16,16,32,48,48,0,"{""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 16}"
shared_experiment_planning_assistant,real-online/m2-catalog-closure-pilot,always_full_reuse,1,64,189.515,3291.902,1.201,36864,44544,2.457607,225.586644,0.0,0,0,16,0,0,48,64,64,0,{}
shared_experiment_planning_assistant,real-online/m2-catalog-closure-pilot,always_recompute,1,64,252.557,3410.719,1.164,0,81408,0.165898,94.432494,0.0,64,64,64,0,0,0,0,0,0,{}
shared_experiment_planning_assistant,real-online/m2-catalog-closure-pilot,controller,1,64,198.639,3308.083,1.196,28672,52736,2.410379,235.912555,0.38724,0,0,16,64,32,48,0,32,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 32, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 32}"
shared_long_context_doc_analysis,real-online/m2-catalog-closure-pilot,always_full_reuse,1,48,293.458,1501.06,2.641,152064,65026,4.102021,63.488605,0.0,0,0,12,0,0,36,48,48,0,{}
shared_long_context_doc_analysis,real-online/m2-catalog-closure-pilot,always_recompute,1,48,673.077,2192.745,1.811,0,217090,0.131471,21.769841,0.0,48,48,48,0,0,0,0,0,0,{}
shared_long_context_doc_analysis,real-online/m2-catalog-closure-pilot,controller,1,48,286.36,1519.935,2.61,145664,71426,4.00342,59.565168,0.047971,0,0,12,12,2,36,36,46,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 10, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 2}"
shared_long_context_doc_analysis,real-online/m2-significance-confirmation,always_full_reuse,5,240,284.8416,1539.7708,2.5748,760320,325130,19.315963,298.116229,0.0,0,0,60,0,0,180,240,240,0,{}
shared_long_context_doc_analysis,real-online/m2-significance-confirmation,always_recompute,5,240,673.7508,2196.4694,1.8086,0,1085450,0.661315,114.751811,0.0,240,240,240,0,0,0,0,0,0,{}
shared_long_context_doc_analysis,real-online/m2-significance-confirmation,controller,5,240,295.3752,1554.4356,2.5518,728320,357130,18.997046,292.587579,0.266576,0,0,60,60,10,180,180,230,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 50, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 10}"
shared_memory_write_then_reuse,real-online/m2-stateful-secondary-pilot,always_full_reuse,1,64,150.599,1714.304,2.311,20480,34912,2.214297,117.346047,0.0,0,0,16,0,0,48,64,64,0,{}
shared_memory_write_then_reuse,real-online/m2-stateful-secondary-pilot,always_recompute,1,64,196.511,1774.303,2.237,0,55392,0.152413,45.756686,0.0,64,64,64,0,0,0,0,0,0,{}
shared_memory_write_then_reuse,real-online/m2-stateful-secondary-pilot,controller,1,64,156.37,1725.808,2.295,16384,39008,2.153007,115.26188,0.175762,0,0,16,64,16,48,0,48,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 48, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 16}"
shared_multi_turn_support_chat,real-online/m2-stateful-secondary-pilot,always_full_reuse,1,64,159.238,1729.637,2.295,4096,46704,1.855363,119.82562,0.0,0,0,48,0,0,16,64,64,0,{}
shared_multi_turn_support_chat,real-online/m2-stateful-secondary-pilot,always_recompute,1,64,190.614,1783.564,2.225,0,50800,0.167235,47.612647,0.0,64,64,64,0,0,0,0,0,0,{}
shared_multi_turn_support_chat,real-online/m2-stateful-secondary-pilot,controller,1,64,335.557,2126.054,1.871,2048,48752,1.76921,119.038811,0.197907,0,0,48,64,16,16,0,48,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 48, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 16}"
shared_preemption_resume_long_decode,real-online/m2-catalog-closure-pilot,always_full_reuse,1,48,195.978,3366.894,1.177,36864,39664,2.159616,165.594643,0.0,0,0,12,0,0,36,48,48,0,{}
shared_preemption_resume_long_decode,real-online/m2-catalog-closure-pilot,always_recompute,1,48,285.859,3519.788,1.129,0,76528,0.12741,68.289583,0.0,48,48,48,0,0,0,0,0,0,{}
shared_preemption_resume_long_decode,real-online/m2-catalog-closure-pilot,controller,1,48,235.08,3435.016,1.154,24576,51952,1.92713,176.300381,0.15517,0,0,12,48,12,36,0,36,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 36, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 12}"
shared_rag_followup,real-online/m2-catalog-closure-pilot,always_full_reuse,1,64,223.599,1087.345,3.65,110592,61920,3.718089,58.172923,0.0,0,0,16,0,0,48,64,64,0,{}
