bundle,workload,policy_mode,round,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,p95_ttft_ms,mean_latency_ms,p95_latency_ms,request_throughput_rps,output_throughput_toks,prompt_tokens,avoided_prefill_tokens,recomputed_tail_tokens,lookup_latency_ms,commit_latency_ms,tail_isolation_latency_ms,decision_latency_ms,boundary_alignment_latency_ms,controller_latency_ms,cached_blocks,peak_cache_usage,observed_recompute,observed_partial_reuse,observed_full_reuse,effective_recompute,effective_partial_reuse,effective_full_reuse,realized_recompute,realized_partial_reuse,realized_full_reuse,realign_count,fallback_full_reuse_count,fallback_recompute_count,fallback_reasons_json
shared_scenario_multi_turn_knowledge_service/always_full_reuse/round_01_sequence_11,shared_scenario_multi_turn_knowledge_service,always_full_reuse,1,2026-08-03T04:10:10.277010Z-pid-2715747,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,32,154.767,222.752,1165.653,1253.089,3.389,216.886,21624,9216,7672,1.04662,37.907517,0.0,0.253967,0.0,3.644939,96,0.005233644859813036,0,0,32,0,0,32,8,24,0,0,0,0,{}
shared_scenario_multi_turn_knowledge_service/always_full_reuse/round_02_sequence_15,shared_scenario_multi_turn_knowledge_service,always_full_reuse,2,2026-08-03T04:22:00.323427Z-pid-2728606,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,32,146.517,223.458,1158.857,1283.271,3.41,218.216,21624,9216,7672,1.050085,37.323859,0.0,0.253717,0.0,3.629465,96,0.00524344569288393,0,0,32,0,0,32,8,24,0,0,0,0,{}
shared_scenario_multi_turn_knowledge_service/always_full_reuse/round_03_sequence_16,shared_scenario_multi_turn_knowledge_service,always_full_reuse,3,2026-08-03T04:24:47.408663Z-pid-2731720,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,32,145.873,224.007,1155.752,1246.15,3.419,218.795,21624,9216,7672,1.027944,39.266154,0.0,0.256348,0.0,3.691674,96,0.00524344569288393,0,0,32,0,0,32,8,24,0,0,0,0,{}
shared_scenario_multi_turn_knowledge_service/always_recompute/round_01_sequence_10,shared_scenario_multi_turn_knowledge_service,always_recompute,1,2026-08-03T04:07:22.633317Z-pid-2712356,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,32,186.254,241.424,1219.474,1281.724,3.243,207.534,21624,0,0,0.083763,14.615568,0.0,0.243007,0.0,7.196257,0,0.00524344569288393,32,0,0,32,0,0,32,0,0,0,0,0,{}
shared_scenario_multi_turn_knowledge_service/always_recompute/round_02_sequence_14,shared_scenario_multi_turn_knowledge_service,always_recompute,2,2026-08-03T04:19:08.770104Z-pid-2725447,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,32,183.59,239.926,1212.967,1291.088,3.26,208.644,21624,0,0,0.089832,15.552935,0.0,0.227776,0.0,3.571846,0,0.00524344569288393,32,0,0,32,0,0,32,0,0,0,0,0,{}
shared_scenario_multi_turn_knowledge_service/always_recompute/round_03_sequence_18,shared_scenario_multi_turn_knowledge_service,always_recompute,3,2026-08-03T04:30:32.220396Z-pid-2738039,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,32,188.026,249.586,1222.699,1307.484,3.235,207.014,21624,0,0,0.079142,14.21432,0.0,0.22625,0.0,3.623763,0,0.005242463958060273,32,0,0,32,0,0,32,0,0,0,0,0,{}
shared_scenario_multi_turn_knowledge_service/controller/round_01_sequence_12,shared_scenario_multi_turn_knowledge_service,controller,1,2026-08-03T04:13:13.875806Z-pid-2719020,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,32,157.834,228.088,1172.429,1256.983,3.37,215.699,21624,7168,9720,1.010119,38.712446,0.200075,4.21551,2.036795,9.405053,64,0.00524344569288393,0,32,0,0,16,16,8,24,0,16,16,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 16, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 16}"
shared_scenario_multi_turn_knowledge_service/controller/round_02_sequence_13,shared_scenario_multi_turn_knowledge_service,controller,2,2026-08-03T04:16:07.286570Z-pid-2722195,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,32,157.237,238.593,1164.703,1255.473,3.392,217.106,21624,7168,9720,1.046116,39.059713,0.278266,4.284989,2.005667,9.515554,64,0.00524344569288393,0,32,0,0,16,16,8,24,0,16,16,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 16, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 16}"
shared_scenario_multi_turn_knowledge_service/controller/round_03_sequence_17,shared_scenario_multi_turn_knowledge_service,controller,3,2026-08-03T04:27:32.762920Z-pid-2734811,e05dc1bf54e11cfdec742df4693d7ee35aaf6c4ee4757bd90a49db888d0e81cf,32,32,161.196,240.065,1166.159,1261.541,3.386,216.723,21624,7168,9720,0.97433,39.812546,0.22484,4.355608,2.374594,10.072716,64,0.005233644859813036,0,32,0,0,16,16,8,24,0,16,16,0,"{""block_aligned_partial_reuse_dominated_by_full_reuse"": 16, ""partial_reuse_cut_point_realigned_to_runtime_hash_blocks"": 16}"
shared_tool_scaffold_agent/always_full_reuse/round_01_sequence_02,shared_tool_scaffold_agent,always_full_reuse,1,2026-08-03T03:42:10.838703Z-pid-2690938,53b7cca85ee96a1609ae3c960e13f1cba78a93633f787694e318e575959f244d,32,32,132.817,183.534,2189.318,2294.987,1.801,230.588,14680,6144,5536,1.009453,73.063113,0.0,0.258582,0.0,3.624015,80,0.004494382022471877,0,0,32,0,0,32,8,24,0,0,0,0,{}
shared_tool_scaffold_agent/always_full_reuse/round_02_sequence_06,shared_tool_scaffold_agent,always_full_reuse,2,2026-08-03T03:54:48.534483Z-pid-2699395,53b7cca85ee96a1609ae3c960e13f1cba78a93633f787694e318e575959f244d,32,32,132.856,183.594,2155.676,2239.219,1.829,234.115,14680,6144,5536,0.978911,75.040002,0.0,0.253898,0.0,3.644983,80,0.004494382022471877,0,0,32,0,0,32,8,24,0,0,0,0,{}
