bundle,workload,round,policy_mode,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,mean_latency_ms,request_throughput_rps
shared_session_affine_bursty/always_full_reuse/round_01_sequence_02,shared_session_affine_bursty,1,always_full_reuse,2026-08-03T10:21:26.143743Z-pid-3110587,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,194.846,2261.472,1.751
shared_session_affine_bursty/always_full_reuse/round_02_sequence_06,shared_session_affine_bursty,2,always_full_reuse,2026-08-03T10:33:42.341253Z-pid-3130974,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,190.81,2252.423,1.759
shared_session_affine_bursty/always_full_reuse/round_03_sequence_07,shared_session_affine_bursty,3,always_full_reuse,2026-08-03T10:36:52.369777Z-pid-3136140,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,191.903,2245.217,1.764
shared_session_affine_bursty/always_full_reuse/round_04_sequence_12,shared_session_affine_bursty,4,always_full_reuse,2026-08-03T10:52:39.927175Z-pid-3162279,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,193.344,2263.948,1.749
shared_session_affine_bursty/always_full_reuse/round_05_sequence_13,shared_session_affine_bursty,5,always_full_reuse,2026-08-03T10:55:48.774736Z-pid-3167009,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,194.238,2248.79,1.761
shared_session_affine_bursty/always_recompute/round_01_sequence_01,shared_session_affine_bursty,1,always_recompute,2026-08-03T10:18:14.796097Z-pid-3105237,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,214.948,2312.21,1.716
shared_session_affine_bursty/always_recompute/round_02_sequence_05,shared_session_affine_bursty,2,always_recompute,2026-08-03T10:30:42.444891Z-pid-3125855,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,211.621,2284.62,1.737
shared_session_affine_bursty/always_recompute/round_03_sequence_09,shared_session_affine_bursty,3,always_recompute,2026-08-03T10:43:12.864400Z-pid-3146643,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,212.933,2282.111,1.738
shared_session_affine_bursty/always_recompute/round_04_sequence_10,shared_session_affine_bursty,4,always_recompute,2026-08-03T10:46:27.350176Z-pid-3151819,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,211.719,2284.493,1.737
shared_session_affine_bursty/always_recompute/round_05_sequence_14,shared_session_affine_bursty,5,always_recompute,2026-08-03T10:59:01.313694Z-pid-3172514,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,212.895,2304.16,1.723
shared_session_affine_bursty/controller/round_01_sequence_03,shared_session_affine_bursty,1,controller,2026-08-03T10:24:34.405769Z-pid-3115796,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,194.973,2262.46,1.752
shared_session_affine_bursty/controller/round_02_sequence_04,shared_session_affine_bursty,2,controller,2026-08-03T10:27:40.771882Z-pid-3120520,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,197.762,2258.316,1.755
shared_session_affine_bursty/controller/round_03_sequence_08,shared_session_affine_bursty,3,controller,2026-08-03T10:40:00.862887Z-pid-3141257,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,199.115,2265.018,1.75
shared_session_affine_bursty/controller/round_04_sequence_11,shared_session_affine_bursty,4,controller,2026-08-03T10:49:31.637082Z-pid-3156915,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,199.226,2275.002,1.742
shared_session_affine_bursty/controller/round_05_sequence_15,shared_session_affine_bursty,5,controller,2026-08-03T11:02:12.098037Z-pid-3177968,e09fe74f73a9e79f49e07b8bb00876e52ac6caa4ac6bf751fe5e835520338ec1,64,64,196.039,2261.749,1.751
