bundle,workload,round,policy_mode,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,mean_latency_ms,request_throughput_rps
shared_long_context_doc_analysis/always_full_reuse/round_01_sequence_02,shared_long_context_doc_analysis,1,always_full_reuse,2026-08-03T10:21:35.540163Z-pid-3110838,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,283.688,1563.964,2.532
shared_long_context_doc_analysis/always_full_reuse/round_02_sequence_06,shared_long_context_doc_analysis,2,always_full_reuse,2026-08-03T10:35:41.044719Z-pid-3134022,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,284.685,1548.398,2.562
shared_long_context_doc_analysis/always_full_reuse/round_03_sequence_07,shared_long_context_doc_analysis,3,always_full_reuse,2026-08-03T10:39:13.744127Z-pid-3140048,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,287.833,1551.29,2.558
shared_long_context_doc_analysis/always_full_reuse/round_04_sequence_12,shared_long_context_doc_analysis,4,always_full_reuse,2026-08-03T10:56:54.717279Z-pid-3169063,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,286.352,1526.329,2.593
shared_long_context_doc_analysis/always_full_reuse/round_05_sequence_13,shared_long_context_doc_analysis,5,always_full_reuse,2026-08-03T11:00:14.269778Z-pid-3174710,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,281.65,1508.873,2.629
shared_long_context_doc_analysis/always_recompute/round_01_sequence_01,shared_long_context_doc_analysis,1,always_recompute,2026-08-03T10:18:09.323871Z-pid-3104829,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,674.453,2196.169,1.809
shared_long_context_doc_analysis/always_recompute/round_02_sequence_05,shared_long_context_doc_analysis,2,always_recompute,2026-08-03T10:32:06.976283Z-pid-3128346,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,675.585,2210.132,1.797
shared_long_context_doc_analysis/always_recompute/round_03_sequence_09,shared_long_context_doc_analysis,3,always_recompute,2026-08-03T10:46:15.651481Z-pid-3151488,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,674.781,2195.745,1.809
shared_long_context_doc_analysis/always_recompute/round_04_sequence_10,shared_long_context_doc_analysis,4,always_recompute,2026-08-03T10:49:29.709609Z-pid-3156838,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,672.247,2185.115,1.818
shared_long_context_doc_analysis/always_recompute/round_05_sequence_14,shared_long_context_doc_analysis,5,always_recompute,2026-08-03T11:03:45.391094Z-pid-3180432,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,671.688,2195.186,1.81
shared_long_context_doc_analysis/controller/round_01_sequence_03,shared_long_context_doc_analysis,1,controller,2026-08-03T10:25:07.496781Z-pid-3116533,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,291.958,1548.767,2.555
shared_long_context_doc_analysis/controller/round_02_sequence_04,shared_long_context_doc_analysis,2,controller,2026-08-03T10:28:36.808387Z-pid-3122366,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,308.175,1600.07,2.479
shared_long_context_doc_analysis/controller/round_03_sequence_08,shared_long_context_doc_analysis,3,controller,2026-08-03T10:42:41.714208Z-pid-3145718,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,296.28,1566.035,2.534
shared_long_context_doc_analysis/controller/round_04_sequence_11,shared_long_context_doc_analysis,4,controller,2026-08-03T10:53:10.857717Z-pid-3162970,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,290.867,1529.158,2.594
shared_long_context_doc_analysis/controller/round_05_sequence_15,shared_long_context_doc_analysis,5,controller,2026-08-03T11:07:30.979497Z-pid-3185188,1f3e9e46580b0a2805a44e4871e48d3e0368b1c95fcc3e0de96e3b60bf3f4e26,48,48,289.596,1528.148,2.597
