bundle,workload,round,policy_mode,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,mean_latency_ms,request_throughput_rps
shared_structured_json_generation/always_full_reuse/round_01_sequence_02,shared_structured_json_generation,1,always_full_reuse,2026-08-03T09:05:39.845822Z-pid-2976512,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,172.501,1705.141,2.319
shared_structured_json_generation/always_full_reuse/round_02_sequence_06,shared_structured_json_generation,2,always_full_reuse,2026-08-03T09:17:48.941131Z-pid-2991077,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,164.226,1688.836,2.344
shared_structured_json_generation/always_full_reuse/round_03_sequence_07,shared_structured_json_generation,3,always_full_reuse,2026-08-03T09:20:45.942927Z-pid-2994406,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,164.815,1692.2,2.34
shared_structured_json_generation/always_full_reuse/round_04_sequence_12,shared_structured_json_generation,4,always_full_reuse,2026-08-03T09:35:43.081066Z-pid-3013285,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,166.617,1769.06,2.239
shared_structured_json_generation/always_full_reuse/round_05_sequence_13,shared_structured_json_generation,5,always_full_reuse,2026-08-03T09:38:43.822160Z-pid-3016371,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,165.338,1695.522,2.333
shared_structured_json_generation/always_recompute/round_01_sequence_01,shared_structured_json_generation,1,always_recompute,2026-08-03T09:02:35.885127Z-pid-2972743,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,180.437,1730.217,2.294
shared_structured_json_generation/always_recompute/round_02_sequence_05,shared_structured_json_generation,2,always_recompute,2026-08-03T09:14:51.744751Z-pid-2986686,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,177.84,1708.371,2.32
shared_structured_json_generation/always_recompute/round_03_sequence_09,shared_structured_json_generation,3,always_recompute,2026-08-03T09:26:44.221504Z-pid-3002128,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,167.825,1706.795,2.326
shared_structured_json_generation/always_recompute/round_04_sequence_10,shared_structured_json_generation,4,always_recompute,2026-08-03T09:29:43.416473Z-pid-3005747,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,185.114,1737.349,2.283
shared_structured_json_generation/always_recompute/round_05_sequence_14,shared_structured_json_generation,5,always_recompute,2026-08-03T09:41:43.041095Z-pid-3020173,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,175.975,1716.067,2.312
shared_structured_json_generation/controller/round_01_sequence_03,shared_structured_json_generation,1,controller,2026-08-03T09:08:57.569276Z-pid-2980110,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,167.578,1697.877,2.33
shared_structured_json_generation/controller/round_02_sequence_04,shared_structured_json_generation,2,controller,2026-08-03T09:11:54.849552Z-pid-2983424,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,166.805,1688.881,2.343
shared_structured_json_generation/controller/round_03_sequence_08,shared_structured_json_generation,3,controller,2026-08-03T09:23:42.972181Z-pid-2997938,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,167.938,1693.344,2.333
shared_structured_json_generation/controller/round_04_sequence_11,shared_structured_json_generation,4,controller,2026-08-03T09:32:43.455473Z-pid-3009721,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,171.279,1696.291,2.332
shared_structured_json_generation/controller/round_05_sequence_15,shared_structured_json_generation,5,controller,2026-08-03T09:44:42.447915Z-pid-3023537,b37eedb9fe313b2835bc0a699580f9a562dd9c7421093c8e510753c499862509,64,64,166.87,1692.207,2.338
