bundle,workload,policy_mode,service_lifecycle_id,protocol_fingerprint,requests,completed,mean_ttft_ms,mean_latency_ms,request_throughput_rps,reused_tokens,recomputed_tokens
shared_code_eval_judge/always_full_reuse/pilot_sequence_02,shared_code_eval_judge,always_full_reuse,2026-08-03T08:25:19.905285Z-pid-2938768,e942a9f28d5141f9739e5ed9fecf23e47e45f6ff4f1834e43e64fe7c86fa64a1,64,64,174.883,1700.788,2.323,8192,33792
shared_code_eval_judge/always_recompute/pilot_sequence_03,shared_code_eval_judge,always_recompute,2026-08-03T08:28:48.218600Z-pid-2943302,e942a9f28d5141f9739e5ed9fecf23e47e45f6ff4f1834e43e64fe7c86fa64a1,64,64,182.759,1717.496,2.3,0,41984
shared_code_eval_judge/controller/pilot_sequence_01,shared_code_eval_judge,controller,2026-08-03T08:21:53.575938Z-pid-2933757,e942a9f28d5141f9739e5ed9fecf23e47e45f6ff4f1834e43e64fe7c86fa64a1,64,64,172.766,1696.826,2.327,7808,34176
shared_memory_write_then_reuse/always_full_reuse/pilot_sequence_12,shared_memory_write_then_reuse,always_full_reuse,2026-08-03T08:58:54.544438Z-pid-2969607,fada6999abaf381bd74c3ee252433e14c0434341e351d3369ccc0afc746b9660,64,64,150.599,1714.304,2.311,20480,34912
shared_memory_write_then_reuse/always_recompute/pilot_sequence_10,shared_memory_write_then_reuse,always_recompute,2026-08-03T08:52:15.427322Z-pid-2964373,fada6999abaf381bd74c3ee252433e14c0434341e351d3369ccc0afc746b9660,64,64,196.511,1774.303,2.237,0,55392
shared_memory_write_then_reuse/controller/pilot_sequence_11,shared_memory_write_then_reuse,controller,2026-08-03T08:55:33.475975Z-pid-2967303,fada6999abaf381bd74c3ee252433e14c0434341e351d3369ccc0afc746b9660,64,64,156.37,1725.808,2.295,16384,39008
shared_multi_turn_support_chat/always_full_reuse/pilot_sequence_08,shared_multi_turn_support_chat,always_full_reuse,2026-08-03T08:45:37.377019Z-pid-2959669,dd9af23d8d0075120124b5f259c75c83b57d73d58b351c66c42a5e9497b8cef9,64,64,159.238,1729.637,2.295,4096,46704
shared_multi_turn_support_chat/always_recompute/pilot_sequence_09,shared_multi_turn_support_chat,always_recompute,2026-08-03T08:48:59.148576Z-pid-2962045,dd9af23d8d0075120124b5f259c75c83b57d73d58b351c66c42a5e9497b8cef9,64,64,190.614,1783.564,2.225,0,50800
shared_multi_turn_support_chat/controller/pilot_sequence_07,shared_multi_turn_support_chat,controller,2026-08-03T08:42:09.405091Z-pid-2957171,dd9af23d8d0075120124b5f259c75c83b57d73d58b351c66c42a5e9497b8cef9,64,64,335.557,2126.054,1.871,2048,48752
shared_structured_json_generation/always_full_reuse/pilot_sequence_06,shared_structured_json_generation,always_full_reuse,2026-08-03T08:38:40.031788Z-pid-2954403,c7f975a39a20d7415f7dde048bc1724ab76b81cb713031dbe515ffcae2c24229,64,64,169.49,1690.534,2.342,12288,34828
shared_structured_json_generation/always_recompute/pilot_sequence_04,shared_structured_json_generation,always_recompute,2026-08-03T08:31:50.880923Z-pid-2946912,c7f975a39a20d7415f7dde048bc1724ab76b81cb713031dbe515ffcae2c24229,64,64,175.814,1726.123,2.3,0,47116
shared_structured_json_generation/controller/pilot_sequence_05,shared_structured_json_generation,controller,2026-08-03T08:35:20.594616Z-pid-2951344,c7f975a39a20d7415f7dde048bc1724ab76b81cb713031dbe515ffcae2c24229,64,64,171.039,1711.068,2.311,12160,34956
